gene_name	CN_high	n_cells_high	median_SCT_count_high	mean_SCT_count_high	CN_low	n_cells_low	median_SCT_count_low	mean_SCT_count_low	mean_expected_high	log10_abs_diff	highlight
RPL6P27	6	58	10	12.5172413793103	5	34	10	14.3235294117647	17.1882352941176	0.669409301505866	FALSE
CKS1B	4	47	276	386.617021276596	3	43	234	286.46511627907	381.953488372093	0.668715045362523	FALSE
TOP1	4	82	27	72.9878048780488	3	41	7	51.2926829268293	68.390243902439	0.662527497822077	FALSE
NDUFA5	3	31	125	175.838709677419	2	90	63.5	114.166666666667	171.25	0.661690581232837	FALSE
CHCHD7	6	65	52	88.6615384615385	5	56	34.5	70.0714285714286	84.0857142857143	0.660469328517405	FALSE
NCOA2	6	65	25	115.353846153846	5	56	28.5	99.9107142857143	119.892857142857	0.656961234177319	FALSE
PSMA6	3	47	53	81.4255319148936	2	57	44	51.280701754386	76.9210526315789	0.65364459388252	FALSE
TIPRL	6	19	42	147.736842105263	4	47	96	101.468085106383	152.202127659574	0.64984923717669	FALSE
MMP14	4	24	39.5	85.125	2	57	9	44.7894736842105	89.5789473684211	0.648745080740372	FALSE
PTP4A2	3	47	52	130.063829787234	2	82	35.5	83.7439024390244	125.615853658537	0.648162447817979	FALSE
LAMP2	2	34	111.5	202.470588235294	1	95	34	103.431578947368	206.863157894737	0.642718657468803	FALSE
PIN4	2	34	72.5	89.1470588235294	1	95	12	42.3894736842105	84.7789473684211	0.640293711134638	FALSE
LAMTOR2	6	19	279	266.842105263158	3	43	104	131.279069767442	262.558139534884	0.631845987817864	FALSE
ESD	2	74	117.5	149.972972972973	1	10	4.5	77.1	154.2	0.626035024656833	FALSE
TPM1	4	53	44	111.150943396226	3	56	18	86.5	115.333333333333	0.621424520982653	FALSE
SUPT16H	3	47	75	138.510638297872	2	57	59	89.5964912280702	134.394736842105	0.614464968197074	FALSE
PMF1	4	47	36	51.1489361702128	3	43	0	35.3720930232558	47.1627906976744	0.600553144030258	FALSE
UQCRHL	3	47	15	15.936170212766	2	82	12	13.1707317073171	19.7560975609756	0.582055103076186	FALSE
RPS3AP6	5	14	54	56.2142857142857	4	53	42	41.9245283018868	52.4056603773585	0.580768252233512	FALSE
PDIA6	3	83	119	156.650602409639	2	36	84.5	106.972222222222	160.458333333333	0.580666251035069	FALSE
DPM1	4	82	129.5	157.865853658537	3	41	76	115.560975609756	154.081300813008	0.578014573877966	FALSE
DICER1	5	17	36	145.647058823529	3	54	10	85.1666666666667	141.944444444444	0.568508483381817	FALSE
TATDN1	7	23	162	145.086956521739	6	79	84	127.430379746835	148.668776371308	0.554103738881622	FALSE
KTN1	4	42	119.5	141.404761904762	2	30	32	68.9333333333333	137.866666666667	0.548769519026654	FALSE
PPP2R5C	4	52	15	103.480769230769	3	54	18.5	74.9814814814815	99.9753086419753	0.544745088787648	FALSE
COX7C	2	96	426.5	445.0625	1	14	243	220.785714285714	441.571428571429	0.542958734725687	FALSE
ADAR	6	19	19	150.842105263158	3	43	20	73.6976744186046	147.395348837209	0.537410593937659	FALSE
PSMD14	4	99	66	121.191919191919	3	23	52	93.4782608695652	124.63768115942	0.537285273178373	FALSE
TIPRL	4	47	96	101.468085106383	3	43	7	78.6744186046512	104.899224806202	0.535438400838218	FALSE
MTPN	3	31	11	91.1612903225806	2	90	0.5	58.5	87.75	0.532918682212807	FALSE
APEX1	3	47	34	86.468085106383	2	57	1	59.9122807017544	89.8684210526316	0.531521826570036	FALSE
CFDP1	2	48	0	26.3541666666667	1	15	4	11.5333333333333	23.0666666666667	0.516865761497814	FALSE
NDUFB9	7	23	352	320.826086956522	5	24	165.5	226.833333333333	317.566666666667	0.513140364698379	FALSE
NIFK	4	105	120	155.009523809524	3	17	64	113.823529411765	151.764705882353	0.511190332740881	FALSE
TERF2IP	2	48	9.5	96.7708333333333	1	15	11	50	100	0.509090460794705	FALSE
NHP2	3	42	62.5	93.3809523809524	2	88	25	64.3977272727273	96.5965909090909	0.50726722351613	FALSE
SFPQ	3	47	80	238.765957446808	2	82	106	157.036585365854	235.55487804878	0.506651044183484	FALSE
UBE3A	4	50	79	141.3	3	59	42	108.338983050847	144.45197740113	0.49858309504856	FALSE
ANKRD36	4	90	70	160.288888888889	3	10	68.5	122.5	163.333333333333	0.48350805338106	FALSE
NPM1	3	42	1494.5	1627.57142857143	2	88	999.5	1083.04545454545	1624.56818181818	0.477591016238611	FALSE
ARPP19	4	53	21	74.7169811320755	3	56	6	58.2321428571429	77.6428571428571	0.466255918175392	FALSE
ATP6V0E1	3	42	273	266.309523809524	2	88	151.5	175.647727272727	263.471590909091	0.45300212286344	FALSE
CBWD2	4	104	22	55.7692307692308	3	16	6.5	39.75	53	0.44235914846045	FALSE
PTRHD1	4	11	0	76	3	83	28	54.9277108433735	73.2369477911647	0.441389091139776	FALSE
PMF1	6	19	8	79.4210526315789	4	47	36	51.1489361702128	76.7234042553191	0.430985341109798	FALSE
NDUFB9	6	79	222	274.784810126582	5	24	165.5	226.833333333333	272.2	0.412428646460451	FALSE
ATP6V1F	3	31	64	103.032258064516	2	90	28.5	70.4	105.6	0.409551373903398	FALSE
MRPL52	4	24	108	115.291666666667	3	47	39	84.6170212765958	112.822695035461	0.392516099862425	FALSE
OTUD6B-AS1	7	11	280	308.090909090909	5	45	162	221.822222222222	310.551111111111	0.390970770784935	FALSE
PFDN2	6	19	147	150.157894736842	3	43	57	76.3023255813954	152.604651162791	0.388590737585702	FALSE
PDXDC1	4	16	1.5	84.4375	3	73	17	61.5205479452055	82.027397260274	0.382035556410985	FALSE
GUK1	2	78	146.5	243.294871794872	1	45	98	122.844444444444	245.688888888889	0.379127247077408	FALSE
COPS6	3	31	47	99.7741935483871	2	90	19.5	64.9444444444444	97.4166666666667	0.372456653484146	FALSE
CHURC1	3	40	65.5	101.4	2	32	35.5	66.0625	99.09375	0.362906383503137	FALSE
MITD1	4	90	48.5	100.811111111111	3	10	2	73.9	98.5333333333333	0.357511351616431	FALSE
ACTR2	3	83	128	190.33734939759	2	38	106	128.394736842105	192.592105263158	0.353099525381751	FALSE
ASAH1	3	92	16.5	91.1195652173913	2	37	0	62.2432432432432	93.3648648648649	0.351274308172426	FALSE
LEPROT	3	49	27	171.857142857143	2	80	76.5	113.0875	169.63125	0.347504255833588	FALSE
NBN	6	70	10	95.6428571428571	5	45	7	77.8888888888889	93.4666666666667	0.337696905335933	FALSE
NR2F2	5	21	24	119	4	84	34.5	93.4880952380952	116.860119047619	0.330389612993038	FALSE
ALDOA	4	16	19	46.3125	2	41	16	24.219512195122	48.4390243902439	0.327670368233956	FALSE
SEL1L	3	40	8.5	84.925	2	32	26	58	87	0.317018101048112	FALSE
UFC1	4	47	136	142.085106382979	3	43	92	108.116279069767	144.15503875969	0.315956157582089	FALSE
EIF4A1	3	29	10	38.3103448275862	2	97	6	24.2061855670103	36.3092783505155	0.301261516495001	FALSE
ERH	5	16	477	567.9375	4	41	430	455.926829268293	569.908536585366	0.294694685504727	FALSE
HINT1	3	41	223	262.560975609756	2	88	140	173.875	260.8125	0.242659578525608	FALSE
RPL41P2	5	16	40.5	38.8125	4	50	26.5	29.66	37.075	0.239924813262151	FALSE
COLEC12	4	55	117	182.527272727273	3	67	4	135.671641791045	180.89552238806	0.212653711650429	FALSE
COX16	5	16	80.5	97.5625	4	41	70	76.7560975609756	95.9451219512195	0.208811544525682	FALSE
SNAP23	5	16	71.5	88.4375	4	50	39.5	69.52	86.9	0.186815124447457	FALSE
UNC50	5	26	111.5	186.846153846154	4	90	91.5	150.555555555556	188.194444444444	0.129783506170007	FALSE
POGZ	7	13	55	134.461538461538	4	36	26	76.1111111111111	133.194444444444	0.102808840290131	FALSE
AHSA1	5	16	28.5	90.375	4	41	19	71.4878048780488	89.359756097561	0.00657038979464094	FALSE
RHEB	4	63	135	174.857142857143	3	24	88	131.75	175.666666666667	-0.0917703733556526	FALSE
SAR1A	2	95	169	193.305263157895	1	35	58	96.9428571428571	193.885714285714	-0.236234340631354	FALSE
ABCE1	3	49	85	162.836734693878	2	79	71	108.936708860759	163.405063291139	-0.245400490496754	FALSE
ADAM9	5	82	105	163.951219512195	4	41	55	131.585365853659	164.481707317073	-0.275324595429056	FALSE
PABPC4	3	47	8	88.3404255319149	2	82	8.5	58.5731707317073	87.859756097561	-0.318153493668072	FALSE
ANP32E	7	13	150	216.615384615385	4	36	57.5	123.555555555556	216.222222222222	-0.405428030064597	FALSE
ZFHX4	6	65	216	389.107692307692	5	56	201	323.964285714286	388.757142857143	-0.455250709263894	FALSE
RDH11	5	16	63.5	221.25	4	41	112	176.756097560976	220.94512195122	-0.515873843711669	FALSE
NDUFB9	7	23	352	320.826086956522	6	79	222	274.784810126582	320.582278481013	-0.612951201084984	FALSE
WDR61	5	15	91	148.533333333333	4	32	55.5	118.84375	148.5546875	-1.67051737198378	FALSE
ATG12	3	41	107	169.512195121951	2	88	35.5	113	169.5	-1.91381385238411	FALSE
